userid,Average Screen Time,Average Spent on App (INR),Ratings,New Password Request,Last Visited Minutes,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Day_15,Day_16,Day_17,Day_18,Day_19,Day_20,Day_21,Day_22,Day_23,Day_24,Day_25,Day_26,Day_27,Day_28,Day_29,Day_30,Day_31,Day_32,Day_33,Day_34,Day_35,Day_36,Day_37,Day_38,Day_39,Day_40,Day_41,Day_42,Day_43,Day_44,Day_45,Day_46,Day_47,Day_48,Day_49,Day_50,Day_51,Day_52,Day_53,Day_54,Day_55,Day_56,Day_57,Day_58,Day_59,Day_60,Day_61,Day_62,Day_63,Day_64,Day_65,Day_66,Day_67,Day_68,Day_69,Day_70,Day_71,Day_72,Day_73,Day_74,Day_75,Day_76,Day_77,Day_78,Day_79,Day_80,Day_81,Day_82,Day_83,Day_84,Day_85,Day_86,Day_87,Day_88,Day_89,Day_90,is_churned,total_days_active,avg_daily_usage,std_dev_daily_usage,early_usage_avg,late_usage_avg,drop_in_usage,review,left_review
2030,8.29,807.88,10,3,20871,203.64,85.53,77.49,38.79,8.16,49.58,82.53,0.6,72.3,20.18,184.06,312.75,69.57,67.84,1.53,6.06,17.81,20.88,40.13,237.44,353.7,162.9,116.56,116.02,165.43,89.2,16.26,38.27,13.82,45.6,5.63,44.23,261.62,109.27,30.87,33.36,6.73,39.51,32.98,425.62,117.77,20.92,176.87,13.28,188.25,23.79,59.16,185.66,120.79,25.42,10.96,196.72,180.48,71.75,22.29,161.42,79.19,84.21,0.68,83.87,108.01,66.49,165.47,320.98,83.37,79.11,9.91,121.72,10.34,113.23,52.77,2.53,273.88,59.39,42.07,1.11,59.25,35.02,66.32,31.39,128.95,35.87,64.16,21.27,181.67,294.43,50.69,120.36,57.71,104.21,1,60,92.11,88.61,90.49,92.06,0.0,Did not meet my expectations.,1
2031,21.43,326.97,10,5,3781,94.73,71.63,14.71,101.01,417.17,5.09,112.72,98.32,279.09,20.8,37.58,172.82,310.31,98.26,165.02,62.64,342.73,85.62,16.45,27.96,88.56,1.74,123.07,56.55,74.99,115.26,162.49,182.66,98.51,60.81,210.04,76.4,75.83,97.98,7.76,66.4,98.0,71.64,121.11,186.9,245.07,39.79,25.46,148.21,126.78,66.04,34.28,33.27,39.47,6.95,87.41,220.34,111.26,57.31,42.79,26.34,13.7,31.11,19.02,1.51,3.27,8.9,230.92,154.63,6.8,94.54,8.9,104.69,262.2,16.89,36.73,18.47,38.77,25.64,188.52,171.14,5.0,167.32,109.84,21.48,39.63,253.05,92.99,56.35,38.89,40.47,32.54,65.12,12.31,101.71,0,40,92.17,84.18,116.64,80.26,36.39,"Excellent design, works smoothly.",1
2032,15.17,674.37,1,0,28731,36.22,60.47,82.55,32.65,90.59,53.57,217.39,29.91,375.95,29.31,5.23,74.75,27.8,45.37,247.64,351.83,11.88,50.52,16.72,1.13,53.25,45.65,43.2,156.85,100.44,3.91,104.45,494.51,23.07,289.82,161.99,146.4,80.4,432.69,9.36,209.53,81.5,34.49,159.03,272.5,262.63,95.22,150.15,200.12,106.92,77.51,15.13,72.14,93.24,23.61,107.48,5.47,94.57,102.06,27.1,136.36,33.79,163.43,183.26,88.13,62.09,13.23,222.63,218.8,288.75,76.56,70.61,136.7,8.27,1.51,73.48,17.27,115.84,48.46,3.26,108.22,1.42,141.36,215.61,80.72,324.21,118.09,216.99,15.39,7.21,39.01,161.76,205.3,35.41,122.89,0,55,110.38,102.96,105.22,105.04,0.19,Great customer support and easy to use.,1
2033,31.98,156.29,6,3,27105,54.78,109.92,292.29,157.85,105.85,19.06,23.39,23.06,89.12,16.74,9.98,86.51,46.63,101.97,32.66,123.83,28.0,31.11,24.66,69.86,46.17,69.1,95.8,294.94,267.32,79.11,79.71,48.08,30.84,2.12,152.47,7.64,145.27,4.58,105.8,138.63,27.64,46.58,10.39,47.72,111.2,179.16,43.31,114.5,30.32,5.87,39.42,309.58,10.68,52.0,27.49,7.67,106.1,112.17,250.85,84.28,144.71,27.03,73.25,79.82,56.91,149.45,212.28,36.36,65.74,80.65,11.91,1.31,116.22,389.15,28.19,85.33,49.46,65.87,82.26,10.49,164.64,17.27,147.38,29.52,83.97,29.44,16.29,86.82,91.62,147.28,13.15,36.7,237.56,192.11,1,74,85.47,78.33,82.02,91.18,0.0,Great customer support and easy to use.,1
2034,24.85,481.18,6,0,21915,49.56,64.5,35.33,123.56,30.2,30.37,0.33,19.28,95.62,4.55,29.57,97.38,64.2,47.21,346.87,31.0,144.67,217.8,132.45,59.08,33.81,83.79,14.36,207.66,15.48,163.02,6.16,1.32,315.0,46.82,88.05,128.94,6.37,252.06,81.04,72.35,20.14,170.07,7.52,16.97,322.11,26.06,7.67,17.2,135.53,38.25,70.45,508.42,42.83,43.63,11.31,71.38,116.18,196.71,54.27,288.28,15.5,408.76,28.13,0.82,59.25,166.41,25.74,214.1,157.39,29.94,69.03,109.97,156.49,147.26,194.69,3.51,312.76,39.39,127.84,10.81,108.36,1.55,30.37,6.41,80.43,86.6,6.27,61.36,59.78,40.99,160.25,3.03,46.84,79.23,1,10,92.82,99.39,83.7,86.53,0.0,"Too many crashes, needs urgent updates.",1
2035,38.45,170.96,6,3,20310,34.82,227.9,57.3,40.93,51.66,53.61,167.57,12.9,55.68,375.06,93.24,44.67,125.25,192.93,573.46,126.66,35.62,213.69,10.98,28.26,28.72,232.08,56.37,11.13,83.71,84.67,107.25,25.52,133.33,6.32,0.17,131.5,75.88,41.56,26.31,37.78,49.63,241.63,7.55,4.72,10.75,253.98,7.33,15.4,371.73,32.05,371.91,15.27,41.89,10.54,393.18,53.26,92.49,38.88,306.58,4.77,82.76,159.59,30.26,71.24,261.95,53.31,5.7,38.89,24.28,11.06,166.68,112.01,88.28,129.82,14.2,147.51,290.5,20.52,85.77,208.94,1.2,5.53,66.43,41.65,208.3,16.8,43.09,20.66,170.27,8.38,67.97,4.49,125.77,48.73,0,37,97.34,109.24,109.71,82.96,26.75,"Fantastic app, highly recommend!",1
2036,27.12,118.39,6,2,28474,139.52,25.67,110.83,84.86,174.12,112.83,163.18,201.41,46.56,121.07,138.31,28.54,36.9,77.57,125.63,107.66,27.49,11.03,0.99,12.16,28.87,107.73,248.39,27.95,107.49,16.44,7.2,18.07,95.9,166.32,3.53,13.38,177.58,190.8,36.14,128.68,49.04,144.16,14.56,119.65,233.23,170.24,207.02,548.74,137.69,88.38,109.14,70.97,106.75,43.99,74.22,45.14,131.66,56.35,78.26,94.25,36.53,67.47,132.39,39.54,18.16,43.61,111.53,41.78,26.82,146.07,136.53,86.88,191.11,15.76,30.02,72.56,54.07,37.58,33.79,170.16,24.53,332.55,215.91,172.94,69.34,214.21,28.8,46.61,28.48,242.4,255.56,27.84,38.87,17.61,0,29,98.36,85.81,85.69,97.74,0.0,"Fantastic app, highly recommend!",1
2037,45.6,812.1,9,7,12870,221.73,35.63,37.16,19.37,67.41,78.45,61.03,30.02,22.69,29.49,72.59,18.73,161.58,50.66,99.63,14.0,85.88,227.27,57.47,7.88,106.48,273.67,86.92,55.95,195.56,140.16,27.68,64.96,65.16,12.72,289.76,55.21,74.02,113.15,85.51,70.48,358.21,188.09,78.43,38.64,14.93,29.52,6.27,155.07,61.02,38.16,65.41,182.28,166.76,149.4,187.2,18.02,52.65,96.64,170.7,61.36,140.15,186.66,146.92,87.7,22.14,17.02,54.88,24.92,357.52,29.06,41.68,51.59,23.6,30.87,174.81,35.32,340.96,401.39,146.51,57.43,134.52,67.6,70.32,295.42,312.52,44.65,91.95,158.6,166.91,20.71,21.78,184.62,42.01,124.4,0,50,103.8,90.82,80.93,118.19,0.0,Did not meet my expectations.,1
2038,23.93,462.0,3,7,4508,233.41,30.26,9.11,117.28,168.72,23.12,62.7,55.51,182.99,80.98,124.01,136.98,14.48,131.88,23.78,18.81,348.63,124.16,541.54,175.08,38.2,34.01,182.88,96.17,74.67,229.8,91.71,176.63,5.74,6.94,63.01,29.43,38.44,31.24,260.48,95.53,71.94,177.45,12.57,73.9,73.78,1.23,106.75,38.21,16.0,92.79,32.05,19.05,146.93,4.49,65.4,160.0,107.47,1.16,54.76,34.95,39.79,8.14,151.54,479.79,33.42,187.74,169.39,1.88,83.86,108.0,96.93,19.04,27.67,174.88,18.43,165.01,53.51,174.92,66.08,91.74,27.0,92.96,31.25,4.32,55.17,108.8,140.24,37.52,156.35,126.1,81.8,66.77,124.38,13.35,1,24,95.19,92.86,118.01,84.62,33.39,"Affordable and reliable, worth it.",1
2039,18.51,191.74,4,5,27365,185.59,34.66,221.43,28.7,1.96,22.13,15.29,3.48,55.74,36.62,140.9,65.49,2.5,59.65,178.82,24.61,299.13,108.57,139.31,51.96,87.67,42.34,175.81,3.88,109.72,35.52,69.4,247.65,91.23,65.51,85.18,109.65,70.13,21.31,44.92,142.04,53.97,213.92,57.05,202.44,102.6,98.99,32.28,45.77,175.67,55.55,142.78,503.7,119.76,124.96,21.3,166.49,214.48,27.33,2.8,65.48,47.57,27.2,109.93,187.14,65.34,120.91,91.97,196.41,22.44,68.57,27.3,97.29,14.98,21.34,100.98,3.06,217.79,196.12,238.11,14.1,77.62,23.39,123.8,109.64,105.94,200.33,18.81,151.76,208.7,41.47,138.36,1.31,130.8,28.03,1,49,97.05,82.71,86.84,95.22,0.0,"Fantastic app, highly recommend!",1
